transition,average_duration_hours,transition_count,is_low_sample_transition
W_Completeren aanvraag → O_SENT_BACK,128.94,561,False
W_Nabellen offertes → O_SENT_BACK,86.31,2693,False
W_Nabellen offertes → W_Nabellen offertes,74.66,13521,False
W_Completeren aanvraag → W_Nabellen offertes,74.52,3554,False
W_Nabellen offertes → A_APPROVED,74.06,165,False
W_Nabellen offertes → A_REGISTERED,69.28,68,False
W_Nabellen offertes → O_ACCEPTED,68.01,350,False
W_Nabellen offertes → O_DECLINED,66.82,196,False
W_Nabellen offertes → A_DECLINED,64.13,199,False
W_Nabellen offertes → A_ACTIVATED,62.13,61,False
W_Nabellen offertes → W_Valideren aanvraag,60.02,2114,False
W_Nabellen offertes → A_CANCELLED,56.99,732,False
W_Nabellen offertes → O_CANCELLED,56.1,1133,False
W_Completeren aanvraag → O_DECLINED,53.87,6,True
W_Nabellen offertes → O_SELECTED,51.25,449,False
W_Nabellen incomplete dossiers → O_SENT_BACK,44.01,190,False
W_Completeren aanvraag → O_CANCELLED,40.74,466,False
W_Nabellen offertes → W_Completeren aanvraag,35.46,4,True
A_PARTLYSUBMITTED → W_Beoordelen fraude,34.09,67,False
W_Completeren aanvraag → W_Completeren aanvraag,33.99,12619,False
W_Completeren aanvraag → A_CANCELLED,31.76,989,False
W_Afhandelen leads → W_Beoordelen fraude,18.61,21,True
W_Nabellen incomplete dossiers → A_CANCELLED,17.22,69,False
W_Nabellen incomplete dossiers → W_Nabellen incomplete dossiers,16.68,8620,False
W_Completeren aanvraag → O_SELECTED,16.12,389,False
W_Valideren aanvraag → A_CANCELLED,14.23,9,True
W_Beoordelen fraude → W_Beoordelen fraude,13.44,89,False
W_Nabellen incomplete dossiers → O_CANCELLED,12.72,154,False
W_Completeren aanvraag → A_DECLINED,12.41,685,False
W_Valideren aanvraag → W_Valideren aanvraag,12.03,1928,False
W_Nabellen incomplete dossiers → W_Valideren aanvraag,11.38,879,False
W_Valideren aanvraag → A_DECLINED,10.63,113,False
W_Beoordelen fraude → A_DECLINED,10.44,64,False
W_Valideren aanvraag → O_DECLINED,9.75,126,False
W_Nabellen incomplete dossiers → A_ACTIVATED,9.64,85,False
W_Nabellen incomplete dossiers → A_APPROVED,8.68,168,False
A_PREACCEPTED → W_Completeren aanvraag,8.52,2793,False
W_Nabellen incomplete dossiers → A_DECLINED,8.45,67,False
W_Nabellen incomplete dossiers → O_ACCEPTED,8.35,444,False
W_Nabellen incomplete dossiers → O_SELECTED,7.92,99,False
W_Valideren aanvraag → O_ACCEPTED,7.6,448,False
W_Valideren aanvraag → O_CANCELLED,7.37,64,False
W_Completeren aanvraag → A_ACCEPTED,7.1,2737,False
W_Valideren aanvraag → A_REGISTERED,6.61,89,False
A_PREACCEPTED → A_CANCELLED,6.45,134,False
A_PARTLYSUBMITTED → W_Afhandelen leads,6.42,760,False
W_Nabellen incomplete dossiers → A_REGISTERED,6.4,89,False
W_Nabellen incomplete dossiers → O_DECLINED,6.33,90,False
A_PREACCEPTED → A_DECLINED,6.28,160,False
W_Completeren aanvraag → W_Beoordelen fraude,5.87,3,True
