case_id,activity,timestamp,region,customer,material_id,quantity,priority,event_date,is_high_priority,next_activity,next_timestamp,transition,duration_hours,sla_threshold_hours,is_sla_violation
ORD-0001,Order Created,2025-02-05 09:43:00,DE,CUST-DE-9935,MAT-10011,67,High,2025-02-05,1,Order Approved,2025-02-05 11:19:36,Order Created → Order Approved,1.61,12,False
ORD-0001,Order Approved,2025-02-05 11:19:36,DE,CUST-DE-9935,MAT-10011,67,High,2025-02-05,1,Production Started,2025-02-05 16:46:00,Order Approved → Production Started,5.44,24,False
ORD-0001,Production Started,2025-02-05 16:46:00,DE,CUST-DE-9935,MAT-10011,67,High,2025-02-05,1,Quality Check,2025-02-06 02:36:24,Production Started → Quality Check,9.84,48,False
ORD-0001,Quality Check,2025-02-06 02:36:24,DE,CUST-DE-9935,MAT-10011,67,High,2025-02-06,1,Shipping Started,2025-02-06 06:28:00,Quality Check → Shipping Started,3.86,24,False
ORD-0001,Shipping Started,2025-02-06 06:28:00,DE,CUST-DE-9935,MAT-10011,67,High,2025-02-06,1,Delivered,2025-02-07 01:58:00,Shipping Started → Delivered,19.5,72,False
ORD-0002,Order Created,2025-04-18 11:28:00,IN,CUST-IN-5557,MAT-10000,149,Normal,2025-04-18,0,Order Approved,2025-04-18 15:06:24,Order Created → Order Approved,3.64,12,False
ORD-0002,Order Approved,2025-04-18 15:06:24,IN,CUST-IN-5557,MAT-10000,149,Normal,2025-04-18,0,Production Started,2025-04-19 03:55:00,Order Approved → Production Started,12.81,24,False
ORD-0002,Production Started,2025-04-19 03:55:00,IN,CUST-IN-5557,MAT-10000,149,Normal,2025-04-19,0,Quality Check,2025-04-20 07:53:12,Production Started → Quality Check,27.97,48,False
ORD-0002,Quality Check,2025-04-20 07:53:12,IN,CUST-IN-5557,MAT-10000,149,Normal,2025-04-20,0,Shipping Started,2025-04-20 15:59:48,Quality Check → Shipping Started,8.11,24,False
ORD-0002,Shipping Started,2025-04-20 15:59:48,IN,CUST-IN-5557,MAT-10000,149,Normal,2025-04-20,0,Delivered,2025-04-21 19:17:48,Shipping Started → Delivered,27.3,72,False
ORD-0003,Order Created,2025-03-30 17:16:00,CN,CUST-CN-1711,MAT-10093,101,High,2025-03-30,1,Order Approved,2025-03-30 19:23:12,Order Created → Order Approved,2.12,12,False
ORD-0003,Order Approved,2025-03-30 19:23:12,CN,CUST-CN-1711,MAT-10093,101,High,2025-03-30,1,Production Started,2025-03-31 04:23:48,Order Approved → Production Started,9.01,24,False
ORD-0003,Production Started,2025-03-31 04:23:48,CN,CUST-CN-1711,MAT-10093,101,High,2025-03-31,1,Quality Check,2025-03-31 18:33:24,Production Started → Quality Check,14.16,48,False
